,unique_id,ds,AutoARIMA
0,FOODS_1,2016-04-25,2567.6380220997385
1,FOODS_1,2016-04-26,2640.0126507600617
2,FOODS_1,2016-04-27,2654.020161270193
3,FOODS_1,2016-04-28,2796.440947432241
4,FOODS_1,2016-04-29,3208.3811781219893
5,FOODS_1,2016-04-30,3773.861663861278
6,FOODS_1,2016-05-01,3299.79743620078
7,FOODS_1,2016-05-02,2640.917833365884
8,FOODS_1,2016-05-03,2694.336636469822
9,FOODS_1,2016-05-04,2694.1035608286916
10,FOODS_1,2016-05-05,2835.3163066249176
11,FOODS_1,2016-05-06,3236.293019356992
12,FOODS_1,2016-05-07,3797.241666185409
13,FOODS_1,2016-05-08,3321.3663551719346
14,FOODS_1,2016-05-09,2657.5206296593224
15,FOODS_1,2016-05-10,2707.524732902354
16,FOODS_1,2016-05-11,2704.747898679939
17,FOODS_1,2016-05-12,2843.9075334840127
18,FOODS_1,2016-05-13,3243.2271452721875
19,FOODS_1,2016-05-14,3802.8383176295374
20,FOODS_1,2016-05-15,3325.8835081296597
21,FOODS_1,2016-05-16,2661.1665009534677
22,FOODS_1,2016-05-17,2710.4673778864567
23,FOODS_1,2016-05-18,2707.1229576998144
24,FOODS_1,2016-05-19,2845.8244841791743
25,FOODS_1,2016-05-20,3244.7743489150994
26,FOODS_1,2016-05-21,3804.0870921121996
27,FOODS_1,2016-05-22,3326.8914153406417
28,FOODS_2,2016-04-25,5247.139313835306
29,FOODS_2,2016-04-26,4792.960953564678
30,FOODS_2,2016-04-27,4590.964924105041
31,FOODS_2,2016-04-28,4600.860960731239
32,FOODS_2,2016-04-29,4942.967875785429
33,FOODS_2,2016-04-30,6337.5344008647035
34,FOODS_2,2016-05-01,6757.903656868389
35,FOODS_2,2016-05-02,5607.448278542931
36,FOODS_2,2016-05-03,5244.736379588703
37,FOODS_2,2016-05-04,5004.324139775963
38,FOODS_2,2016-05-05,4898.957821332703
39,FOODS_2,2016-05-06,5310.50858073175
40,FOODS_2,2016-05-07,6641.501751486881
41,FOODS_2,2016-05-08,6994.60266694966
42,FOODS_2,2016-05-09,5779.319357423172
43,FOODS_2,2016-05-10,5407.162676474501
44,FOODS_2,2016-05-11,5083.913842178118
45,FOODS_2,2016-05-12,4944.398003219373
46,FOODS_2,2016-05-13,5311.376375871703
47,FOODS_2,2016-05-14,6593.071399563353
48,FOODS_2,2016-05-15,6919.214380455565
49,FOODS_2,2016-05-16,5687.59113569716
50,FOODS_2,2016-05-17,5289.695188706264
51,FOODS_2,2016-05-18,4961.060422560739
52,FOODS_2,2016-05-19,4815.1162421391555
53,FOODS_2,2016-05-20,5184.318070407874
54,FOODS_2,2016-05-21,6467.664979048176
55,FOODS_2,2016-05-22,6807.52592255971
56,FOODS_3,2016-04-25,17666.731556718732
57,FOODS_3,2016-04-26,16540.541376421595
58,FOODS_3,2016-04-27,16160.633071055223
59,FOODS_3,2016-04-28,16370.683658640599
60,FOODS_3,2016-04-29,17889.869101221244
61,FOODS_3,2016-04-30,22332.436097780206
62,FOODS_3,2016-05-01,22713.044590532798
63,FOODS_3,2016-05-02,17468.426315986457
64,FOODS_3,2016-05-03,16293.254187261948
65,FOODS_3,2016-05-04,15975.967829497
66,FOODS_3,2016-05-05,16301.448695311468
67,FOODS_3,2016-05-06,17742.192012594733
68,FOODS_3,2016-05-07,22149.920466723906
69,FOODS_3,2016-05-08,22672.51910973226
70,FOODS_3,2016-05-09,17388.755964833897
71,FOODS_3,2016-05-10,16229.554742510712
72,FOODS_3,2016-05-11,15913.853788834986
73,FOODS_3,2016-05-12,16229.441847880662
74,FOODS_3,2016-05-13,17695.119173018684
75,FOODS_3,2016-05-14,22118.38914081269
76,FOODS_3,2016-05-15,22622.383902927766
77,FOODS_3,2016-05-16,17352.915739873653
78,FOODS_3,2016-05-17,16196.863301084244
79,FOODS_3,2016-05-18,15886.258449760904
80,FOODS_3,2016-05-19,16208.436163712715
81,FOODS_3,2016-05-20,17673.61997937043
82,FOODS_3,2016-05-21,22097.648256558292
83,FOODS_3,2016-05-22,22608.340998500338
84,HOBBIES_1,2016-04-25,3301.1184614493914
85,HOBBIES_1,2016-04-26,3190.0305707575
86,HOBBIES_1,2016-04-27,3199.935172884026
87,HOBBIES_1,2016-04-28,3225.695752897986
88,HOBBIES_1,2016-04-29,3567.265955094044
89,HOBBIES_1,2016-04-30,4356.224282294094
90,HOBBIES_1,2016-05-01,4089.925888720474
91,HOBBIES_1,2016-05-02,3256.234765934616
92,HOBBIES_1,2016-05-03,3167.254279226249
93,HOBBIES_1,2016-05-04,3182.164242104323
94,HOBBIES_1,2016-05-05,3197.8208347975133
95,HOBBIES_1,2016-05-06,3562.1759714192
96,HOBBIES_1,2016-05-07,4348.942474784928
97,HOBBIES_1,2016-05-08,4062.088166835995
98,HOBBIES_1,2016-05-09,3270.411197190324
99,HOBBIES_1,2016-05-10,3153.9826259751076
100,HOBBIES_1,2016-05-11,3185.763508441231
101,HOBBIES_1,2016-05-12,3215.5124943559786
102,HOBBIES_1,2016-05-13,3557.0053751276196
103,HOBBIES_1,2016-05-14,4347.883194155448
104,HOBBIES_1,2016-05-15,4072.703812696276
105,HOBBIES_1,2016-05-16,3257.5290353634405
106,HOBBIES_1,2016-05-17,3160.8541642155105
107,HOBBIES_1,2016-05-18,3181.513304571057
108,HOBBIES_1,2016-05-19,3202.9504121022114
109,HOBBIES_1,2016-05-20,3559.2179367013387
110,HOBBIES_1,2016-05-21,4348.099858357742
111,HOBBIES_1,2016-05-22,4064.243078853568
112,HOBBIES_2,2016-04-25,372.73314373276685
113,HOBBIES_2,2016-04-26,394.9539049862272
114,HOBBIES_2,2016-04-27,383.16517087090995
115,HOBBIES_2,2016-04-28,383.62499302365416
116,HOBBIES_2,2016-04-29,398.311355639119
117,HOBBIES_2,2016-04-30,394.347605737723
118,HOBBIES_2,2016-05-01,410.1164983512131
119,HOBBIES_2,2016-05-02,381.5187849900045
120,HOBBIES_2,2016-05-03,390.5415783971641
121,HOBBIES_2,2016-05-04,384.30591664608176
122,HOBBIES_2,2016-05-05,382.0656727697983
123,HOBBIES_2,2016-05-06,391.0787416473706
124,HOBBIES_2,2016-05-07,388.7836691251789
125,HOBBIES_2,2016-05-08,393.876028907937
126,HOBBIES_2,2016-05-09,390.2092112439395
127,HOBBIES_2,2016-05-10,389.2354081364607
128,HOBBIES_2,2016-05-11,388.6840382471152
129,HOBBIES_2,2016-05-12,388.2380749588003
130,HOBBIES_2,2016-05-13,387.8486951350242
131,HOBBIES_2,2016-05-14,387.50441758710645
132,HOBBIES_2,2016-05-15,387.19942014913687
133,HOBBIES_2,2016-05-16,386.9291391176742
134,HOBBIES_2,2016-05-17,386.6896116476871
135,HOBBIES_2,2016-05-18,386.4773369473272
136,HOBBIES_2,2016-05-19,386.28921406142393
137,HOBBIES_2,2016-05-20,386.12249505879066
138,HOBBIES_2,2016-05-21,385.9747446856811
139,HOBBIES_2,2016-05-22,385.84380476581924
140,HOUSEHOLD_1,2016-04-25,7401.891643264893
141,HOUSEHOLD_1,2016-04-26,6713.059783961793
142,HOUSEHOLD_1,2016-04-27,6568.574826414228
143,HOUSEHOLD_1,2016-04-28,6780.766120981868
144,HOUSEHOLD_1,2016-04-29,7572.471090810987
145,HOUSEHOLD_1,2016-04-30,9760.255572651784
146,HOUSEHOLD_1,2016-05-01,9626.516172187357
147,HOUSEHOLD_1,2016-05-02,7339.549091656914
148,HOUSEHOLD_1,2016-05-03,6715.501042329869
149,HOUSEHOLD_1,2016-05-04,6588.688826450386
150,HOUSEHOLD_1,2016-05-05,6792.018975120889
151,HOUSEHOLD_1,2016-05-06,7585.826196179538
152,HOUSEHOLD_1,2016-05-07,9784.576440586516
153,HOUSEHOLD_1,2016-05-08,9625.229656671552
154,HOUSEHOLD_1,2016-05-09,7370.017398852801
155,HOUSEHOLD_1,2016-05-10,6703.274498285182
156,HOUSEHOLD_1,2016-05-11,6599.658566441017
157,HOUSEHOLD_1,2016-05-12,6803.892952779315
158,HOUSEHOLD_1,2016-05-13,7578.147413631544
159,HOUSEHOLD_1,2016-05-14,9797.63840894531
160,HOUSEHOLD_1,2016-05-15,9618.004359773748
161,HOUSEHOLD_1,2016-05-16,7369.325267410535
162,HOUSEHOLD_1,2016-05-17,6704.177617699504
163,HOUSEHOLD_1,2016-05-18,6602.321156728928
164,HOUSEHOLD_1,2016-05-19,6806.125635799577
165,HOUSEHOLD_1,2016-05-20,7579.715540310798
166,HOUSEHOLD_1,2016-05-21,9800.535564906138
167,HOUSEHOLD_1,2016-05-22,9618.816928719863
168,HOUSEHOLD_2,2016-04-25,1944.6365790975688
169,HOUSEHOLD_2,2016-04-26,1782.1136284351692
170,HOUSEHOLD_2,2016-04-27,1783.3160335243492
171,HOUSEHOLD_2,2016-04-28,1843.7479525740052
172,HOUSEHOLD_2,2016-04-29,2017.7306193648328
173,HOUSEHOLD_2,2016-04-30,2573.4319970333827
174,HOUSEHOLD_2,2016-05-01,2555.781560345023
175,HOUSEHOLD_2,2016-05-02,1911.5887343314832
176,HOUSEHOLD_2,2016-05-03,1773.6009268551322
177,HOUSEHOLD_2,2016-05-04,1783.737933427243
178,HOUSEHOLD_2,2016-05-05,1836.4433591054317
179,HOUSEHOLD_2,2016-05-06,2026.2345730343163
180,HOUSEHOLD_2,2016-05-07,2599.273470339867
181,HOUSEHOLD_2,2016-05-08,2547.324959977864
182,HOUSEHOLD_2,2016-05-09,1919.6860442557204
183,HOUSEHOLD_2,2016-05-10,1772.1267493740079
184,HOUSEHOLD_2,2016-05-11,1776.2903338158771
185,HOUSEHOLD_2,2016-05-12,1836.0676051839982
186,HOUSEHOLD_2,2016-05-13,2012.270429155826
187,HOUSEHOLD_2,2016-05-14,2570.3606621455087
188,HOUSEHOLD_2,2016-05-15,2548.3296441260773
189,HOUSEHOLD_2,2016-05-16,1906.4143149755678
190,HOUSEHOLD_2,2016-05-17,1767.280129446266
191,HOUSEHOLD_2,2016-05-18,1776.7401745381599
192,HOUSEHOLD_2,2016-05-19,1830.4754939798
193,HOUSEHOLD_2,2016-05-20,2018.588737506113
194,HOUSEHOLD_2,2016-05-21,2589.769743131061
195,HOUSEHOLD_2,2016-05-22,2541.838195247957
